iter	RMSE
0	62510.16153
1	61943.98832
2	61401.78498
3	60875.1264
4	60409.77556
5	59963.66716
6	59509.82514
7	59105.67376
8	58711.15038
9	58323.01847
10	57975.82634
11	57647.54475
12	57357.41008
13	57059.80095
14	56675.17474
15	56320.50997
16	55975.98436
17	55688.81619
18	55392.31908
19	55108.94343
20	54806.28359
21	54548.55745
22	54278.91327
23	54031.43857
24	53802.02942
25	53554.26652
26	53346.09904
27	53136.04022
28	52927.86874
29	52735.92535
30	52594.48611
31	52447.12906
32	52316.48217
33	52162.69104
34	52013.88642
35	51868.92398
36	51727.42504
37	51590.5152
38	51495.38658
39	51402.01973
40	51245.64083
41	51102.55684
42	50942.17178
43	50827.73328
44	50717.75928
45	50619.22856
46	50485.98931
47	50376.66396
48	50279.51341
49	50188.05365
50	50151.7405
51	50074.94519
52	50014.13261
53	49928.67054
54	49857.84676
55	49772.35027
56	49702.38375
57	49617.24874
58	49530.19684
59	49506.35017
60	49407.20652
61	49335.54782
62	49312.78055
63	49260.27512
64	49165.28467
65	49097.27975
66	49029.45341
67	48997.48039
68	48935.21983
69	48885.23959
70	48814.13952
71	48769.42377
72	48723.61497
73	48673.16208
74	48618.72934
75	48567.15949
76	48543.54767
77	48510.13135
78	48468.94284
79	48415.10796
80	48375.20079
81	48343.02279
82	48336.32779
83	48292.67553
84	48246.272
85	48233.99724
86	48192.74567
87	48157.02406
88	48124.77604
89	48097.61105
90	48088.50563
91	48051.14695
92	48014.73612
93	47993.32122
94	47981.1313
95	47959.84356
96	47944.16904
97	47915.78267
98	47908.98329
99	47874.69036
100	47855.22908
101	47825.00204
102	47806.83054
103	47785.25697
104	47755.1849
105	47753.03429
106	47741.81091
107	47723.83295
108	47684.98763
109	47656.60682
110	47650.32139
111	47638.10261
112	47623.3982
113	47608.58468
114	47586.09199
115	47551.13633
116	47512.84683
117	47492.35906
118	47465.46567
119	47453.88422
120	47442.4518
121	47427.7089
122	47401.75439
123	47378.01812
124	47346.33239
125	47339.81253
126	47323.57149
127	47304.12865
128	47292.77719
129	47273.86395
130	47267.4273
131	47250.78988
132	47234.97115
133	47225.33062
134	47211.52407
135	47203.7958
136	47188.54693
137	47170.71044
138	47159.92571
139	47150.02847
140	47137.86925
141	47124.68074
142	47122.91523
143	47111.83486
144	47092.22335
145	47039.00063
146	47026.14399
147	47006.39434
148	46994.77832
149	46978.12231
150	46965.37265
151	46964.87298
152	46948.82296
153	46937.26567
154	46927.70042
155	46905.9822
156	46881.04803
157	46870.09627
158	46855.96893
159	46842.86906
160	46834.78767
161	46823.84696
162	46796.00851
