iter	Passed	Remaining
0	3	19048
1	5	13896
2	11	18917
3	15	19761
4	23	23785
5	26	22144
6	29	21048
7	33	20896
8	37	21050
9	45	22472
10	46	21142
11	48	19960
12	50	19394
13	53	19055
14	56	18767
15	61	19100
16	64	18779
17	66	18352
18	68	17881
19	70	17665
20	74	17623
21	75	17096
22	79	17217
23	80	16750
24	83	16522
25	88	16889
26	92	16950
27	95	16999
28	101	17469
29	105	17546
30	110	17655
31	111	17313
32	112	16902
33	115	16925
34	120	17068
35	123	17015
36	127	17147
37	136	17789
38	137	17501
39	139	17331
40	144	17435
41	153	18153
42	158	18220
43	161	18202
44	164	18116
45	171	18483
46	174	18433
47	177	18329
48	181	18340
49	185	18392
50	186	18106
51	192	18286
52	203	19008
53	207	19018
54	211	19009
55	225	19872
56	228	19853
57	234	20020
58	237	19915
59	239	19694
60	245	19861
61	249	19850
62	250	19660
63	254	19612
64	257	19570
65	260	19464
66	264	19470
67	268	19485
68	272	19456
69	278	19616
70	282	19611
71	286	19583
72	291	19649
73	294	19587
74	298	19592
75	303	19645
76	305	19550
77	309	19511
78	314	19620
79	318	19590
80	323	19621
81	337	20233
82	338	20036
83	341	19986
84	345	19968
85	347	19829
86	352	19931
87	356	19895
88	359	19852
89	368	20112
90	371	20061
91	375	20007
92	383	20210
93	387	20200
94	388	20070
95	392	20050
96	398	20155
97	403	20163
98	404	20033
99	409	20073
100	415	20140
101	418	20094
102	421	20062
103	425	20009
104	429	20007
105	429	19850
106	432	19794
107	437	19820
108	440	19766
109	443	19732
110	446	19667
111	451	19695
112	456	19727
113	460	19751
114	464	19710
115	467	19692
116	471	19691
117	478	19803
118	482	19781
119	487	19822
120	491	19826
121	500	19998
122	506	20077
123	511	20126
124	515	20102
125	518	20062
126	523	20089
127	532	20281
128	535	20234
129	539	20196
130	540	20107
131	548	20213
132	552	20214
133	555	20177
134	567	20447
135	572	20484
136	582	20671
137	587	20695
138	590	20653
139	600	20844
140	603	20803
141	608	20824
142	609	20715
143	613	20692
144	618	20713
145	621	20666
146	627	20719
147	631	20713
148	636	20716
149	640	20707
150	645	20738
151	646	20635
152	651	20654
153	655	20632
154	666	20822
155	669	20803
156	672	20747
157	677	20774
158	683	20795
159	686	20768
160	691	20788
161	695	20758
162	699	20743
163	702	20725
164	713	20916
165	717	20902
166	721	20889
167	726	20909
168	732	20953
169	736	20922
170	740	20918
171	744	20899
172	748	20894
173	760	21101
174	762	21033
175	768	21062
176	776	21151
177	781	21158
178	787	21206
179	801	21472
180	806	21462
181	810	21454
182	815	21462
183	817	21400
184	825	21493
185	833	21575
186	834	21475
187	844	21606
188	848	21607
189	852	21576
190	863	21741
191	865	21662
192	866	21572
193	869	21542
194	877	21621
195	883	21649
196	884	21563
197	885	21479
198	886	21383
199	887	21306
200	894	21360
201	899	21371
202	907	21445
203	912	21453
204	913	21367
205	917	21344
206	927	21485
207	932	21483
208	935	21451
209	943	21519
210	954	21661
211	968	21862
212	968	21769
213	978	21881
214	993	22100
215	994	22036
216	1001	22072
217	1007	22093
218	1012	22111
219	1016	22080
220	1029	22272
221	1033	22249
222	1049	22489
223	1057	22550
224	1063	22566
225	1078	22773
226	1082	22758
227	1085	22717
228	1091	22733
229	1095	22709
230	1099	22698
231	1104	22709
232	1105	22625
233	1108	22574
234	1111	22543
235	1113	22476
236	1116	22448
237	1122	22466
238	1128	22473
239	1132	22455
240	1136	22447
241	1141	22449
242	1146	22436
243	1158	22579
244	1163	22582
245	1172	22665
246	1177	22657
247	1182	22654
248	1197	22847
249	1202	22849
250	1212	22940
251	1230	23176
252	1238	23238
253	1258	23511
254	1302	24242
255	1324	24552
256	1331	24567
257	1346	24741
258	1351	24741
259	1352	24661
260	1369	24864
261	1380	24964
262	1386	24963
263	1401	25138
264	1406	25139
265	1411	25118
266	1420	25178
267	1432	25286
268	1437	25273
269	1446	25346
270	1450	25318
271	1451	25234
272	1459	25278
273	1464	25257
274	1465	25181
275	1469	25152
276	1473	25117
277	1487	25262
278	1504	25463
279	1509	25452
280	1520	25532
281	1525	25516
282	1527	25465
283	1533	25463
284	1538	25451
285	1541	25406
286	1551	25476
287	1552	25399
288	1561	25455
289	1567	25452
290	1571	25429
291	1576	25418
292	1587	25494
293	1591	25473
294	1596	25459
295	1600	25440
296	1604	25412
297	1607	25370
298	1612	25347
299	1616	25329
300	1621	25315
301	1625	25284
302	1636	25370
303	1645	25425
304	1649	25393
305	1653	25366
306	1664	25440
307	1668	25413
308	1676	25457
309	1680	25429
310	1684	25399
311	1695	25476
312	1700	25469
313	1708	25498
314	1716	25522
315	1719	25493
316	1722	25452
317	1733	25524
318	1737	25493
319	1740	25462
320	1745	25440
321	1749	25419
322	1756	25432
323	1764	25471
324	1770	25463
325	1774	25445
326	1781	25461
327	1785	25431
328	1789	25411
329	1797	25432
330	1801	25412
331	1805	25388
332	1809	25354
333	1818	25409
334	1822	25384
335	1832	25440
336	1840	25461
337	1849	25505
338	1852	25476
339	1858	25470
340	1866	25496
341	1872	25500
342	1878	25500
343	1884	25503
344	1888	25487
345	1895	25497
346	1898	25463
347	1904	25453
348	1907	25419
349	1912	25406
350	1917	25401
351	1922	25391
352	1928	25393
353	1938	25447
354	1948	25493
355	1953	25477
356	1957	25452
357	1962	25440
358	1963	25384
359	1968	25377
360	1972	25345
361	1980	25374
362	1984	25354
363	1988	25330
364	1998	25378
365	2002	25356
366	2007	25341
367	2012	25332
368	2016	25309
369	2021	25301
370	2025	25275
371	2030	25263
372	2034	25237
373	2036	25194
374	2038	25139
375	2044	25145
376	2050	25139
377	2054	25122
378	2060	25125
379	2063	25089
380	2067	25062
381	2071	25038
382	2080	25082
383	2084	25062
384	2088	25040
385	2094	25034
386	2097	25007
387	2102	24988
388	2109	25008
389	2114	24993
390	2118	24971
391	2129	25032
392	2134	25020
393	2139	25016
394	2144	25002
395	2149	24987
396	2153	24964
397	2161	24997
398	2166	24980
399	2171	24975
400	2176	24963
401	2181	24954
402	2186	24939
403	2195	24976
404	2200	24971
405	2216	25074
406	2220	25060
407	2225	25051
408	2230	25032
409	2234	25012
410	2240	25011
411	2243	24988
412	2256	25057
413	2268	25130
414	2275	25135
415	2279	25123
416	2288	25156
417	2293	25139
418	2298	25128
419	2305	25142
420	2309	25124
421	2313	25101
422	2317	25076
423	2322	25066
424	2326	25038
425	2332	25041
426	2337	25032
427	2342	25028
428	2345	24996
429	2356	25040
430	2364	25069
431	2374	25105
432	2381	25115
433	2386	25105
434	2397	25164
435	2400	25132
436	2410	25173
437	2414	25148
438	2448	25434
439	2459	25490
440	2466	25494
441	2469	25465
442	2474	25453
443	2479	25446
444	2486	25453
445	2490	25431
446	2496	25425
447	2501	25413
448	2505	25397
449	2513	25414
450	2517	25387
451	2521	25366
452	2526	25354
453	2530	25338
454	2535	25331
455	2539	25309
456	2548	25332
457	2551	25302
458	2563	25363
459	2572	25391
460	2579	25394
461	2582	25371
462	2590	25380
463	2595	25373
464	2597	25334
465	2604	25343
466	2609	25330
467	2615	25325
468	2620	25318
469	2624	25295
470	2629	25287
471	2633	25265
472	2639	25261
473	2644	25255
474	2649	25236
475	2653	25222
476	2658	25207
477	2662	25183
478	2665	25160
479	2669	25138
480	2673	25121
481	2679	25111
482	2684	25106
483	2688	25080
484	2691	25053
485	2698	25062
486	2702	25048
487	2707	25033
488	2711	25012
489	2716	24999
490	2721	24989
491	2725	24970
492	2728	24947
493	2733	24936
494	2738	24919
495	2745	24933
496	2750	24920
497	2756	24921
498	2760	24903
499	2765	24886
500	2776	24930
501	2780	24914
